"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 29, 2016","583.81","579.92","585.32","575.55","5.46M","1.53%"
"Jun 28, 2016","575.03","576.84","581.65","573.02","7.66M","-0.60%"
"Jun 27, 2016","578.53","581.43","586.96","575.45","5.58M","-2.37%"
"Jun 24, 2016","592.59","589.34","594.80","575.45","7.81M","-1.41%"
"Jun 23, 2016","601.05","593.95","602.66","591.99","3.83M","1.01%"
"Jun 22, 2016","595.05","597.28","601.22","589.42","3.03M","-0.55%"
"Jun 21, 2016","598.32","600.85","602.64","593.14","4.76M","-0.22%"
"Jun 20, 2016","599.63","585.87","601.15","585.22","6.23M","2.48%"
"Jun 17, 2016","585.12","589.84","591.70","582.94","8.52M","-0.55%"
"Jun 16, 2016","588.35","590.08","590.08","580.46","5.30M","-0.33%"
"Jun 15, 2016","590.31","587.21","591.65","584.90","6.71M","1.27%"
"Jun 14, 2016","582.89","586.56","586.56","579.05","2.94M","-0.50%"
"Jun 13, 2016","585.82","583.78","587.80","578.43","5.29M","0.03%"
"Jun 10, 2016","585.67","583.09","590.33","580.46","6.38M","-0.41%"
"Jun 09, 2016","588.10","608.32","608.32","585.40","12.74M","-4.25%"
"Jun 08, 2016","614.19","627.02","627.02","612.83","8.74M","-1.54%"
"Jun 07, 2016","623.77","628.53","631.26","622.63","5.69M","-0.74%"
"Jun 06, 2016","628.41","627.49","633.49","625.60","4.23M","-0.01%"
"Jun 03, 2016","628.48","625.08","634.63","625.08","4.00M","0.42%"
"Jun 02, 2016","625.83","622.58","632.45","622.08","5.05M","0.27%"
"Jun 01, 2016","624.17","618.14","629.27","618.11","4.84M","0.77%"
"May 31, 2016","619.43","627.54","628.41","614.64","13.78M","-1.49%"
"May 30, 2016","628.83","615.88","631.01","615.88","5.29M","1.61%"
"May 27, 2016","618.86","610.97","624.81","610.97","6.18M","1.08%"
"May 26, 2016","612.23","600.30","615.04","600.30","6.14M","2.11%"
"May 25, 2016","599.58","592.37","601.79","592.37","3.86M","1.76%"
"May 24, 2016","589.22","590.85","591.20","584.18","3.49M","-0.02%"
"May 23, 2016","589.34","596.98","597.85","587.85","4.59M","-1.13%"
"May 20, 2016","596.09","597.77","604.97","595.29","3.99M","-0.34%"
"May 19, 2016","598.15","600.73","603.31","595.79","3.95M","-0.34%"
"May 18, 2016","600.18","594.80","602.24","594.25","4.26M","-0.36%"
"May 17, 2016","602.36","605.22","608.07","599.34","3.80M","-0.06%"
"May 16, 2016","602.73","600.35","607.03","597.77","4.53M","0.64%"
"May 13, 2016","598.89","598.27","600.25","591.40","5.65M","-0.23%"
"May 12, 2016","600.25","597.23","601.74","593.71","3.41M","0.68%"
"May 11, 2016","596.21","594.55","602.59","591.57","3.71M","-0.90%"
"May 10, 2016","601.64","596.53","603.55","593.61","3.40M","1.15%"
"May 09, 2016","594.82","586.36","596.06","585.67","5.12M","1.48%"
"May 06, 2016","586.12","590.23","590.23","583.91","2.60M","-0.92%"
"May 05, 2016","591.55","592.89","594.80","585.92","6.30M","0.30%"
"May 04, 2016","589.76","585.87","591.82","580.73","5.81M","0.94%"
"May 03, 2016","584.28","596.66","601.35","581.30","6.82M","-1.94%"
"May 02, 2016","595.81","600.25","600.82","593.38","3.62M","-0.58%"
"Apr 29, 2016","599.31","600.97","606.98","597.77","5.04M","-0.09%"
"Apr 28, 2016","599.83","610.67","614.94","598.77","12.17M","-2.50%"
"Apr 27, 2016","615.21","609.78","616.30","609.46","4.49M","0.65%"
"Apr 26, 2016","611.24","602.96","614.91","599.56","5.85M","1.34%"
"Apr 25, 2016","603.16","601.27","607.60","595.84","5.36M","0.38%"
"Apr 22, 2016","600.87","608.34","609.43","598.77","5.14M","-1.23%"
